Time(ms),Method,Roll,Pitch
1879.0,COMP,48.946,-4.705
1889.0,ACCEL,46.355,-5.682
1889.0,GYRO,55.51,-0.543
1889.0,COMP,48.917,-4.729
1899.0,ACCEL,46.402,-5.616
1899.0,GYRO,55.57,-0.53
1899.0,COMP,48.927,-4.733
1909.0,ACCEL,46.807,-5.512
1909.0,GYRO,55.628,-0.507
1909.0,COMP,48.94,-4.726
1920.0,ACCEL,47.18,-5.875
1920.0,GYRO,55.667,-0.468
1920.0,COMP,48.944,-4.711
1930.0,ACCEL,45.898,-5.51
1930.0,GYRO,55.692,-0.439
1930.0,COMP,48.907,-4.699
1940.0,ACCEL,46.653,-5.666
1940.0,GYRO,55.74,-0.425
1940.0,COMP,48.909,-4.705
1950.0,ACCEL,46.729,-5.743
1950.0,GYRO,55.767,-0.43
1950.0,COMP,48.892,-4.73
1961.0,ACCEL,47.066,-5.659
1961.0,GYRO,55.77,-0.438
1961.0,COMP,48.858,-4.757
1970.0,ACCEL,46.799,-5.503
1970.0,GYRO,55.779,-0.439
1970.0,COMP,48.826,-4.772
1980.0,ACCEL,47.0,-5.487
1980.0,GYRO,55.821,-0.43
1980.0,COMP,48.83,-4.778
1990.0,ACCEL,46.81,-5.658
1990.0,GYRO,55.822,-0.421
1990.0,COMP,48.791,-4.787
2000.0,ACCEL,47.032,-5.136
2000.0,GYRO,55.821,-0.412
2000.0,COMP,48.755,-4.785
2010.0,ACCEL,46.525,-5.638
2010.0,GYRO,55.816,-0.41
2010.0,COMP,48.706,-4.8
2020.0,ACCEL,47.171,-5.539
2020.0,GYRO,55.803,-0.409
2020.0,COMP,48.662,-4.814
2030.0,ACCEL,46.638,-5.527
2030.0,GYRO,55.799,-0.407
2030.0,COMP,48.618,-4.826
2040.0,ACCEL,47.126,-5.552
2040.0,GYRO,55.785,-0.408
2040.0,COMP,48.574,-4.841
2050.0,ACCEL,46.802,-5.559
2050.0,GYRO,55.776,-0.399
2050.0,COMP,48.53,-4.847
2060.0,ACCEL,46.567,-5.512
2060.0,GYRO,55.785,-0.388
2060.0,COMP,48.5,-4.849
2070.0,ACCEL,47.008,-5.198
2070.0,GYRO,55.811,-0.37
2070.0,COMP,48.495,-4.839
2080.0,ACCEL,46.801,-5.693
2080.0,GYRO,55.894,-0.339
2080.0,COMP,48.542,-4.826
2091.0,ACCEL,47.454,-5.81
2091.0,GYRO,55.979,-0.305
2091.0,COMP,48.604,-4.812
2101.0,ACCEL,47.028,-5.368
2101.0,GYRO,56.077,-0.262
2101.0,COMP,48.669,-4.781
2111.0,ACCEL,47.176,-5.714
2111.0,GYRO,56.191,-0.212
2111.0,COMP,48.75,-4.751
2121.0,ACCEL,47.0,-5.823
2121.0,GYRO,56.28,-0.174
2121.0,COMP,48.803,-4.735
2132.0,ACCEL,47.5,-5.61
2132.0,GYRO,56.361,-0.132
2132.0,COMP,48.856,-4.711
2141.0,ACCEL,47.018,-5.862
2141.0,GYRO,56.401,-0.102
2141.0,COMP,48.858,-4.705
2151.0,ACCEL,47.681,-6.063
2151.0,GYRO,56.426,-0.058
2151.0,COMP,48.86,-4.689
2161.0,ACCEL,47.147,-6.534
2161.0,GYRO,56.475,-0.016
2161.0,COMP,48.873,-4.685
2171.0,ACCEL,47.682,-6.305
2171.0,GYRO,56.51,0.01
2171.0,COMP,48.883,-4.692
2181.0,ACCEL,47.005,-5.617
2181.0,GYRO,56.521,0.027
2181.0,COMP,48.857,-4.693
2191.0,ACCEL,46.989,-6.004
2191.0,GYRO,56.574,0.052
2191.0,COMP,48.872,-4.695
2201.0,ACCEL,47.432,-5.654
2201.0,GYRO,56.654,0.076
2201.0,COMP,48.921,-4.691
2211.0,ACCEL,47.267,-5.791
2211.0,GYRO,56.717,0.1
2211.0,COMP,48.949,-4.689
2221.0,ACCEL,47.392,-6.188
2221.0,GYRO,56.818,0.14
2221.0,COMP,49.018,-4.68
2231.0,ACCEL,47.279,-5.809
2231.0,GYRO,56.955,0.2
2231.0,COMP,49.117,-4.644
2241.0,ACCEL,47.988,-6.135
2241.0,GYRO,57.055,0.249
2241.0,COMP,49.192,-4.626
2251.0,ACCEL,48.157,-6.091
2251.0,GYRO,57.112,0.288
2251.0,COMP,49.228,-4.617
2261.0,ACCEL,47.81,-5.832
2261.0,GYRO,57.126,0.311
2261.0,COMP,49.213,-4.619
2271.0,ACCEL,48.031,-5.979
2271.0,GYRO,57.108,0.328
2271.0,COMP,49.172,-4.629
2281.0,ACCEL,47.034,-5.756
2281.0,GYRO,57.154,0.353
2281.0,COMP,49.174,-4.627
2291.0,ACCEL,47.188,-5.409
2291.0,GYRO,57.202,0.381
2291.0,COMP,49.181,-4.616
2302.0,ACCEL,47.737,-5.796
2302.0,GYRO,57.247,0.383
2302.0,COMP,49.196,-4.637
2311.0,ACCEL,47.887,-5.884
2311.0,GYRO,57.294,0.374
2311.0,COMP,49.217,-4.671
2321.0,ACCEL,48.053,-5.863
2321.0,GYRO,57.324,0.367
2321.0,COMP,49.222,-4.702
2331.0,ACCEL,48.198,-6.122
2331.0,GYRO,57.341,0.357
2331.0,COMP,49.219,-4.739
2341.0,ACCEL,47.719,-5.99
2341.0,GYRO,57.363,0.352
2341.0,COMP,49.21,-4.77
2351.0,ACCEL,48.145,-5.998
2351.0,GYRO,57.355,0.336
2351.0,COMP,49.181,-4.81
2361.0,ACCEL,47.146,-5.998
2361.0,GYRO,57.368,0.333
2361.0,COMP,49.153,-4.837
2371.0,ACCEL,48.047,-5.611
2371.0,GYRO,57.362,0.33
2371.0,COMP,49.126,-4.855
2381.0,ACCEL,47.798,-6.033
2381.0,GYRO,57.334,0.32
2381.0,COMP,49.072,-4.888
2391.0,ACCEL,47.465,-5.893
2391.0,GYRO,57.357,0.313
2391.0,COMP,49.062,-4.915
2401.0,ACCEL,48.411,-6.071
2401.0,GYRO,57.365,0.306
2401.0,COMP,49.056,-4.945
2411.0,ACCEL,47.784,-6.316
2411.0,GYRO,57.371,0.299
2411.0,COMP,49.037,-4.979
2421.0,ACCEL,48.092,-5.897
2421.0,GYRO,57.391,0.301
2421.0,COMP,49.037,-4.996
2432.0,ACCEL,48.205,-5.784
2432.0,GYRO,57.398,0.3
2432.0,COMP,49.028,-5.013
2442.0,ACCEL,48.25,-5.959
2442.0,GYRO,57.388,0.296
2442.0,COMP,49.003,-5.035
2452.0,ACCEL,48.259,-5.957
2452.0,GYRO,57.362,0.288
2452.0,COMP,48.962,-5.062
